City Name,Latitude,Longitude,Temperature,Wind Speed,Cloudiness,Humidity,Country,Date
zambezi,-13.5432,23.1047,67.41,3.78,100,76,ZM,1650760882
staraya kulatka,52.7167,47.6167,44.02,0.74,93,86,RU,1650760882
chuy,-33.6971,-53.4616,54.59,8.5,0,67,UY,1650760883
dunedin,-45.8742,170.5036,57.79,11.99,94,61,NZ,1650760883
jamestown,42.097,-79.2353,69.21,1.99,0,56,US,1650760708
albany,42.6001,-73.9662,48.69,2.86,100,82,US,1650760721
thompson,55.7435,-97.8558,44.76,17.27,40,36,CA,1650760754
bambous virieux,-20.3428,57.7575,73.65,16.11,75,73,MU,1650760884
kamenka,51.3223,42.7678,47.73,4.36,46,66,RU,1650760884
vaini,-21.2,-175.2,82.56,4.61,75,74,TO,1650760885
saskylakh,71.9167,114.0833,4.19,4.41,17,92,RU,1650760885
fortuna,40.5982,-124.1573,54.79,14.97,0,80,US,1650760886
srednekolymsk,67.45,153.6833,19.22,3.06,100,81,RU,1650760886
le port,-20.9373,55.2919,72.48,8.77,79,62,RE,1650760887
ushuaia,-54.8,-68.3,42.46,11.5,40,75,AR,1650760887
rikitea,-23.1203,-134.9692,75.52,15.55,100,77,PF,1650760887
bredasdorp,-34.5322,20.0403,57.63,4.5,99,63,ZA,1650760888
esperance,-33.8667,121.9,58.84,8.16,9,72,AU,1650760888
severo-kurilsk,50.6789,156.125,34.77,5.26,100,99,RU,1650760889
arman,59.7,150.1667,37.02,5.1,100,62,RU,1650760889
nybro,56.7446,15.9071,41.7,12.12,99,82,SE,1650760890
qaanaaq,77.484,-69.3632,-3.05,6.2,7,78,GL,1650760890
mataura,-46.1927,168.8643,53.47,10.04,95,93,NZ,1650760890
tiksi,71.6872,128.8694,7.92,3.36,99,92,RU,1650760891
victoria,22.2855,114.1577,80.28,5.01,91,83,HK,1650760830
caravelas,-17.7125,-39.2481,76.68,6.55,0,94,BR,1650760891
usogorsk,63.4106,48.6872,33.49,2.42,100,100,RU,1650760892
punta arenas,-53.15,-70.9167,42.91,11.5,100,93,CL,1650760892
belyy yar,53.6039,91.3903,26.85,0.0,0,63,RU,1650760893
busselton,-33.65,115.3333,64.35,10.83,89,59,AU,1650760893
sioux lookout,50.1001,-91.917,35.67,9.22,100,100,CA,1650760893
luganville,-15.5333,167.1667,82.49,6.38,100,78,VU,1650760894
salalah,17.0151,54.0924,82.49,3.44,40,78,OM,1650760895
arlit,18.7369,7.3853,84.02,8.46,38,6,NE,1650760895
san andres,12.5847,-81.7006,82.42,12.66,40,78,CO,1650760659
hermanus,-34.4187,19.2345,58.44,0.74,49,61,ZA,1650760895
dikson,73.5069,80.5464,-1.86,10.96,98,100,RU,1650760896
dalby,-27.1833,151.2667,68.25,23.15,92,58,AU,1650760896
avarua,-21.2078,-159.775,78.85,10.36,20,89,CK,1650760897
tuktoyaktuk,69.4541,-133.0374,30.2,8.05,0,69,CA,1650760897
airai,-8.9266,125.4092,71.92,3.27,7,48,TL,1650760898
sitio novo do tocantins,-5.5183,-47.4611,72.84,3.51,98,98,BR,1650760898
kodiak,57.79,-152.4072,42.31,19.57,100,87,US,1650760898
sola,-13.8833,167.55,84.87,4.61,100,79,VU,1650760899
grand gaube,-20.0064,57.6608,72.37,1.99,100,74,MU,1650760899
cabo san lucas,22.8909,-109.9124,78.26,9.06,0,70,MX,1650760899
linxia,35.6003,103.2064,49.48,6.67,100,64,CN,1650760900
hambantota,6.1241,81.1185,75.54,1.14,40,100,LK,1650760900
upernavik,72.7868,-56.1549,5.22,7.85,91,94,GL,1650760901
